gisjoin1890	year	statename	statenum	countyname	countynum	tpop	ln_totinc_pc1970	unionstates	gini_farmsize	banks50c	banks25c	capitalstock1902	banks50c1902	banks25c1902	tval_pc	capitalstock50pc	capitalstock_pc	ln_tval_pc	ln_manuf_val_pc	ln_farmprod_val_pc	ln_livestock_val_pc	ln_farm_mach_val_pc	ln_area_imp_farm_pc	ln_area_imp_farm	ln_manuf_estb	ln_numfarms	ln_meanfarmsize	ln_liabilities	ln_capitalstock	ln_loans	ln_liabilities_pc	ln_capitalstock_pc	ln_loans_pc	ln_tpop	banks_pc	farm_yield	insample_unionrural	insample_allrural	Mexcess_capital_pc	Mopt_capital_pc
2800110.0	1870	MISSISSIPPI	280	BOLIVAR	110	9181439453125	73045626	0	0.754112184047699	0	0	0	0	0	13407698	0	0.0	4898414	-12107086	4896189	3450333	20546823	14041418	10529081	1328059	59985485	4741076							9124939	0.0	32853138	0	1	-21400000	21400000
2800110.0	1880	MISSISSIPPI	280	BOLIVAR	110	18652	73045626	0	0.626046359539032	0	0	0	0	0	9449973	0	0.0	4548597	0.85709924	45233464	30761495	21531937	1370883	11204592	29957323	63438807	5747009							9833709	0.0	2339362	0	1	-31000000	31000000
2800110.0	1890	MISSISSIPPI	280	BOLIVAR	110	29980	73045626	0	0.675321638584137	0	0	0	0	0	1328821	0	0.0	48894625	1474247	48560405	35195289	20256522	16829649	11991251	25649493	8082402	4436832							10308286	0.0	23880821	0	1	-48900000	48900000
2800110.0	1900	MISSISSIPPI	280	BOLIVAR	110	35427	73045626	0	0.5583760142326355	0	0	0	0	0	107595474	0	0.0	46783786	27277677	4525009	34886165	21782815	16569059	12132135	4762174	8615227	3880172							10475229	0.0	17603598	0	1	-40500000	40500000
2800130.0	1870	MISSISSIPPI	280	CALHOUN	130	10561	7429344	0	0.4522821605205536	0	0	0	0	0	11580882	0	0.0	47519407	26132145	4626599	39069157	21661737	17735567	1103848	3912023	7156956	42445908							9264923	0.0	17340452	0	1	-38900000	38900000
2800130.0	1880	MISSISSIPPI	280	CALHOUN	130	13492	7429344	0	0.4007551074028015	0	0	0	0	0	56601765	0	0.0	40360403	1498561	39536738	3229011	16786857	15018018	11011654	29957323	73957214	532326							9509852	0.0	1161006	0	1	-43800000	43800000
2800130.0	1890	MISSISSIPPI	280	CALHOUN	130	14688	7429344	0	0.3850855827331543	0	0	0	0	0	43477463	0	0.0	37722428	0.16465785	3744751	34527676	1479014	18395289	11434315	23025851	75104303	53633356							9594786	0.0	67209	0	1	-49900000	49900000
2800130.0	1900	MISSISSIPPI	280	CALHOUN	130	16512	7429344	0	0.5165654420852661	0	0	0	0	0	6468193	0	0.0	41694818	14646026	4100262	36387665	18929324	17195256	11431368	38501475	8038189	46465325							9711843	0.0	10812863	0	1	-67300000	67300000
2800150.0	1870	MISSISSIPPI	280	CARROLL	150	132797119140625	7280012	0	0.5939306616783142	0	0	0	0	0	9529615	0	0.0	4556989	20218441	44744225	36075916	12890806	17023306	11196323	34312997	6897673	4631469							9493993	0.0	1599205	0	1	-42500000	42500000
2800150.0	1880	MISSISSIPPI	280	CARROLL	150	18045824531555100	7280012	0	0.49763539200648665	0	0	0	0	0	12972673	0	0.0	48654304	0.92759985	4845747	31631505	12801149	15822593	11382929	30593212	74272437	5414226							980067	0.0	26140556	0	1	-39100000	39100000
2800150.0	1890	MISSISSIPPI	280	CARROLL	150	18773	7280012	0	0.5296697616577148	0	0	0	0	0	6475305	0	0.0	4170581	0.30425683	41494236	3369833	15596379	18527026	11692878	26390574	76343374	52115173							9840175	0.0	9941528	0	1	-58400000	58400000
